Submission ID,Respondent ID,Submitted at,Enter your age,Enter your Gender,Program of Study,Semester,Program/Course,Program Other Field,Prior Meditation Experience:,Frequency of Meditation:,Average Duration of each meditation session:,Type of Meditation practiced:,Would you do meditation voluntarily? By yourself ,PRE1. I feel stressed about academic deadlines and exams.,PRE2. I struggle to concentrate on studies due to stress.,PRE3. Meditation does not help reduce my stress.,PRE4. I often feel anxious before tests or assignments.,PRE5. I can manage multiple academic tasks without feeling overwhelmed.,PRE6. Stress negatively affects my academic performance.,PRE7. I feel calm and focused during study sessions.,POST1. I feel stressed about academic deadlines and exams.,POST2. I struggle to concentrate on studies due to stress.,POST3. Meditation does not help reduce my stress.,POST4. I often feel anxious before tests or assignments.,POST5. I can manage multiple academic tasks without feeling overwhelmed.,POST6. Stress negatively affects my academic performance.,POST7. I feel calm and focused during study sessions.,1. How did meditation influence your stress levels during academic tasks?,"2. Which meditation practices were most effective for you, and why?","3. Did meditation help improve focus, time management, or emotional stability? Please explain.",Consent Checkbox,Consent Checkbox (Yes),MISC1. Did meditation just work for you now?,Relaxing Recommendations,Relaxing Recommendations (Check me for relaxing recommendations ),"MISC2. How frequently do you experience physical symptoms of stress (e.g., headaches, muscle tension) related to academic work?","Describe your problem: (And don't worry, this is full private. We won't say anything, nor will we show any of the teachers)",MISC3. Do you use meditation to cope with exam/academic stress?,Do you do anything else than just meditation? ,What do you actually do to reduce stress during exam time?,So... what do you do to relax during exam time?,MISC4. Will you recommend meditation to your classmates or other students for stress relief?,MISC5. Do you have any other thoughts about meditation and college stress?,"MISC6. How did our form feel compared to the others? Good, not good, etc? Can you please rate it? where 0 is worst, and 10 is best.",Form Comparison: Unique or not.,"Form Comparison: Unique or not. (Yes, definitely unique. Want to see more like this. )","Form Comparison: Unique or not. (Unique, but I don't think I want to see more like this. I want the standard ones. )","Form Comparison: Unique or not. (I don't know, dude. It looks the same to me.)"
2EoEl1A,b5ZWvjL,2025-10-06 4:01:00,19,Male,Undergraduate (UG),1,B. Com,,Occasional (1–3 times/week),3-4 days/week,5-15 mins,Breath-based (Pranayama),Yes,4,5,1,5,4,5,5,2,2,5,5,3,5,1,It helps to keep calm while writing or preparing for exams ,Prayanama ,"Yes,it improves my focus on class, time management ",Yes,TRUE,4,Check me for relaxing recommendations ,TRUE,"Muscle tension: Neck, shoulder and other stiffness when you're working for a long time. , Feel constantly tired.",,Yes,"Hang out with friends, Music",,,Yes,No,7,"Yes, definitely unique. Want to see more like this. , Unique, but I don't think I want to see more like this. I want the standard ones. , I don't know, dude. It looks the same to me.",TRUE,TRUE,TRUE
NpPpbRb,2EjK7AL,2025-10-06 4:01:22,18,Female,Undergraduate (UG),1,B. Com,,Occasional (1–3 times/week),3-4 days/week,5-15 mins,Mindfullness/Awareness,Yes,3,4,1,2,4,4,3,3,4,1,3,4,4,3,"Meditation helps me calm down, helps me forget my worries as it clears my mind and also increases my focus levels allowing me to do a better job.","Sitting still and relaxing my body allows me to remove the physical tension in my body, I then allow all the thoughts to flow in and they gradually stop. It helps me calm down, it's self assuring. And also Yoga is an amazing form of meditation to me.","Yes, when I feel emotionally overwhelmed meditation soothes me, calms me down and allows me to find a way to pull myself together, it's self assuring, boosts my confidence and allows me to be optimistic. ",Yes,TRUE,4,Check me for relaxing recommendations ,TRUE,"Muscle tension: Neck, shoulder and other stiffness when you're working for a long time. , Difficulty sleeping (not counting the part where you stay up late to watch anime or a TV show... and you actually work on your academic course work)",,Yes,"Music, Hang out with friends, Just roam around",,,Yes,Nope,8,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
rjYjJvL,LZDPkKj,2025-10-06 4:01:30,18,Female,Undergraduate (UG),1,B. Com,,Occasional (1–3 times/week),3-4 days/week,5-15 mins,Mindfullness/Awareness,Yes,4,3,5,2,2,5,3,4,3,1,4,3,3,4,"If I do meditation it helps me to be calm before my exams, if my stress is not there I can be more focus on my academics ",Mindfulnesses and awareness.,"Yes, it helps me to be control my mind easily and to be calm.",Yes,TRUE,5,Check me for relaxing recommendations ,TRUE,"Stress eating? We honestly don't know if this is possible, but some people have said it's true?, Difficulty sleeping (not counting the part where you stay up late to watch anime or a TV show... and you actually work on your academic course work)",,Yes,"Hang out with friends, Just roam around, Music",,,Yes,,9,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
81r16Ek,Me1EMEp,2025-10-06 4:01:49,18,Male,Undergraduate (UG),1,B. Com,,None,3-4 days/week,5-15 mins,Mantra-based,Yes,3,3,1,2,4,2,4,2,1,1,2,4,2,4,Meditation has influenced me by increasing my concentration and feel stress free,Vedic mantras is the type of meditation which I initiated in my daily life as it boosts me and gives positive energy.,"Yes meditation has been helping me a lot in focus time management and even for emotional stability, because meditation gives discipline in one's life and by discipline all this can be achieved.",Yes,TRUE,4,Check me for relaxing recommendations ,TRUE,"No symptoms, bro! All fine. ",,No,,"Games, Music, Hang out with friends",,Maybe?,Just feel free during the academics exam,10,"I don't know, dude. It looks the same to me.",FALSE,FALSE,TRUE
lbzbY4V,0QVeaeN,2025-10-06 4:01:50,18,Female,Undergraduate (UG),1,B. Com,,Occasional (1–3 times/week),3-4 days/week,Less than 5 mins,Breath-based (Pranayama),Yes,2,2,1,2,3,3,3,2,2,1,2,4,2,2,"Meditation helps to reduce stress, makes our mind calm. It helps to increase our focus on studies.","Pranayama. I'll practice it whenever I feel stressed and also on other days. We'll just concentrate on our breath, so according to me no other thoughts will come to our mind.","Yes. I don't have a habit of practicing mediation daily, I'll do 3-4 times in a week and I'm trying to make it a daily habit. It has helped me to improve focus and emotional stability as well. ",Yes,TRUE,5,,,Headaches.,,Yes,"Music, Hobbies, Games, Just roam around",,,Yes,"Meditation helps a lot to manage our stress, increase focus etc ",10,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
Bzezqve,ob92Qje,2025-10-06 5:30:08,17,Female,Undergraduate (UG),1,B. Com,,Extensive (daily practice),1-2 days/week,5-15 mins,Breath-based (Pranayama),Maybe?,5,4,1,4,3,4,4,3,4,1,4,2,2,3,It helps me a lot for academic tasks,When I do meditation I feel my mind is free and comfortable ,"Yes it helps to improve focus, but not all the times . I should still improve ",Yes,TRUE,3,,FALSE,Feel constantly tired.,,Yes,,,,Maybe?,Nothing,6,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
gDzbdql,xXVJA8k,2025-10-06 7:36:34,21,Female,Postgraduate (PG),1,MSc,,Occasional (1–3 times/week),1-2 days/week,5-15 mins,Breath-based (Pranayama),Maybe?,4,2,3,4,2,3,4,3,2,3,3,3,2,4,Helps to concentrate ,Pranayama ,"Yes, it keeps my mind clear and help me focus ",Yes,TRUE,2,,,"No symptoms, bro! All fine. ",,No, ,"Music, Hobbies",,No,No,4,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
1ARWR1p,D4qz74q,2025-10-06 9:18:11,17,Male,Undergraduate (UG),1,BCA,,Rare (less than once a week),1-2 days/week,Less than 5 mins,Breath-based (Pranayama),Maybe?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Hi,Hi,Hi,Yes,TRUE,0,Check me for relaxing recommendations ,TRUE,"No symptoms, bro! All fine. , Difficulty sleeping (not counting the part where you stay up late to watch anime or a TV show... and you actually work on your academic course work), Dizziness?, Feel constantly tired., Muscle tension: Neck, shoulder and other stiffness when you're working for a long time. , Stress eating? We honestly don't know if this is possible, but some people have said it's true?, Hi",,Yes,"Just roam around, Hang out with friends",,,Yes,,0,"Yes, definitely unique. Want to see more like this. , Unique, but I don't think I want to see more like this. I want the standard ones. , I don't know, dude. It looks the same to me.",TRUE,TRUE,TRUE
NpPqOVN,gDbG9MK,2025-10-06 9:19:27,18,Male,Undergraduate (UG),1,BCA,,Rare (less than once a week),0 days/week,Less than 5 mins,Mindfullness/Awareness,Yes,3,3,3,1,2,3,3,3,3,3,3,3,4,3,By sitting ,No,No,Yes,TRUE,1,Check me for relaxing recommendations ,TRUE,Headaches.,,Yes,Games,,,Yes,No,5,"Yes, definitely unique. Want to see more like this. , Unique, but I don't think I want to see more like this. I want the standard ones. , I don't know, dude. It looks the same to me.",TRUE,TRUE,TRUE
ODEQVJa,kdbENAd,2025-10-06 9:19:47,18,Male,Undergraduate (UG),1,BCA,,None,0 days/week,Less than 5 mins,Mindfullness/Awareness,Yes,1,1,5,1,1,1,2,2,4,4,3,3,2,3,No way ,Nothing,No,Yes,TRUE,0,Check me for relaxing recommendations ,TRUE,Headaches.,,No,,Hang out with friends,,No,No thoughts,0,"Yes, definitely unique. Want to see more like this. , Unique, but I don't think I want to see more like this. I want the standard ones. , I don't know, dude. It looks the same to me.",TRUE,TRUE,TRUE
xXzV6Nd,rjDPoKp,2025-10-06 9:19:55,18,Male,Undergraduate (UG),1,BCA,,Occasional (1–3 times/week),0 days/week,Less than 5 mins,Breath-based (Pranayama),Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Improved ,Breathe practice ,Yes,Yes,TRUE,3,,FALSE,"No symptoms, bro! All fine. ",,No,,Music,,Yes,No,10,"I don't know, dude. It looks the same to me., Unique, but I don't think I want to see more like this. I want the standard ones. , Yes, definitely unique. Want to see more like this. ",TRUE,TRUE,TRUE
PdrRP2B,1AWV9Eb,2025-10-06 9:19:59,18,Male,Undergraduate (UG),1,BCA,,Rare (less than once a week),0 days/week,5-15 mins,"Moving Meditation (like Tai-Chi, Yoga, etc)",Yes,1,1,1,5,1,2,5,1,1,1,1,1,1,1,Good,Effective,Yes,Yes,TRUE,5,Check me for relaxing recommendations ,TRUE,Feel constantly tired.,,Yes,Hobbies,,,Yes,Yes,10,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
MeV1G7A,yPXYJv8,2025-10-06 9:20:21,18,Male,Undergraduate (UG),1,BCA,,Rare (less than once a week),0 days/week,Less than 5 mins,Mindfullness/Awareness,Maybe?,4,3,1,1,4,4,3,2,3,4,1,4,2,3,It improved a bit,Mindful meditation because it would ease my mind ,It did help me to control my emotions ,Yes,TRUE,3,Check me for relaxing recommendations ,TRUE,"Dizziness?, Headaches., Stress eating? We honestly don't know if this is possible, but some people have said it's true?",,No,,"Music, Games, Hang out with friends",,Maybe?,,6,"Yes, definitely unique. Want to see more like this. , Unique, but I don't think I want to see more like this. I want the standard ones. , I don't know, dude. It looks the same to me.",TRUE,TRUE,TRUE
VLNpxNg,PdROzBB,2025-10-06 9:20:36,18,Female,Undergraduate (UG),1,BCA,,Rare (less than once a week),1-2 days/week,5-15 mins,Breath-based (Pranayama),Yes,1,2,2,3,1,3,3,3,3,1,2,2,3,3,It makes me calm,Breath meditation ,Yes it helps me they make me calm and stay focused,Yes,TRUE,3,,,Headaches.,,Yes,Hang out with friends,,,Maybe?,No,3,"I don't know, dude. It looks the same to me.",FALSE,FALSE,TRUE
XxQ5NNj,Me1REdk,2025-10-06 9:20:42,17,Male,Undergraduate (UG),1,BCA,,Rare (less than once a week),0 days/week,Less than 5 mins,Mindfullness/Awareness,Maybe?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,It's good,Reduce stress and anxiety ,Yes ,Yes,TRUE,5,Check me for relaxing recommendations ,TRUE,"Feel constantly tired., Headaches., Stress eating? We honestly don't know if this is possible, but some people have said it's true?",,Yes,Just roam around,,,Yes,Little bit,8,"Unique, but I don't think I want to see more like this. I want the standard ones. ",FALSE,TRUE,FALSE
Y59jqe5,yPXYJ0X,2025-10-06 9:20:42,18,Male,Undergraduate (UG),1,BCA,,Rare (less than once a week),1-2 days/week,Less than 5 mins,Breath-based (Pranayama),Yes,5,2,1,2,4,2,4,4,2,1,3,1,1,5,Gives peace and calm to me,Breathing ,Yes ,Yes,TRUE,4,Check me for relaxing recommendations ,TRUE,"No symptoms, bro! All fine. ",,No,,Hobbies,,Maybe?,No,3,"Unique, but I don't think I want to see more like this. I want the standard ones. , I don't know, dude. It looks the same to me., Yes, definitely unique. Want to see more like this. ",TRUE,TRUE,TRUE
lbza45B,aQOd2jX,2025-10-06 9:20:48,18,Male,Undergraduate (UG),1,BCA,,Rare (less than once a week),1-2 days/week,Less than 5 mins,Breath-based (Pranayama),Yes,3,2,5,2,3,3,3,3,3,3,3,3,3,3,Made me focused ,"Nothing was effective 
","Yes 
Offentely",Yes,TRUE,3,,FALSE,"Headaches., Dizziness?",,Yes,Music,,,Yes,No,7,"Unique, but I don't think I want to see more like this. I want the standard ones. ",FALSE,TRUE,FALSE
q4z5Np7,0QVOeoB,2025-10-06 9:20:52,18,Female,Undergraduate (UG),1,BCA,,Occasional (1–3 times/week),3-4 days/week,5-15 mins,Breath-based (Pranayama),Yes,5,5,4,5,2,5,1,5,3,3,4,4,3,3,No improvement ,Breathing slowly ,Not really,Yes,TRUE,2,Check me for relaxing recommendations ,TRUE,"Feel constantly tired., Difficulty sleeping (not counting the part where you stay up late to watch anime or a TV show... and you actually work on your academic course work), Stress eating? We honestly don't know if this is possible, but some people have said it's true?, Dizziness?",,No,,"Music, Just roam around",,Maybe?,Mediation feels sleepy ,7,"Yes, definitely unique. Want to see more like this. , Unique, but I don't think I want to see more like this. I want the standard ones. ",TRUE,TRUE,FALSE
44OaGyb,lbar6Kv,2025-10-06 9:21:04,18,Female,Undergraduate (UG),1,BCA,,None,0 days/week,Less than 5 mins,Mindfullness/Awareness,No,3,2,1,4,3,4,3,3,3,3,3,3,3,3,I don't do meditation ,None,Meditation does help you a lot in improving your focus,Yes,TRUE,5,,,,,No,,,,,,10,"I don't know, dude. It looks the same to me.",FALSE,FALSE,TRUE
NpPqOQG,ob9G2Kx,2025-10-06 9:21:05,18,Male,Undergraduate (UG),1,BCA,,Rare (less than once a week),0 days/week,Less than 5 mins,"Moving Meditation (like Tai-Chi, Yoga, etc)",No,3,1,1,1,3,3,2,1,1,1,3,2,3,2,Hanging out with friends ,Did not find yet,Yup,Yes,TRUE,3,,FALSE,"No symptoms, bro! All fine. ",,No,,"Music, Hobbies",,Maybe?,No,8,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
PdrRPWQ,vGXYPJD,2025-10-06 9:21:09,18,Male,Undergraduate (UG),1,BCA,,Rare (less than once a week),1-2 days/week,5-15 mins,Breath-based (Pranayama),Maybe?,5,3,3,4,3,4,3,3,3,3,3,3,3,3,Neutral 5,"Breath 5
",Yes,Yes,TRUE,5,Check me for relaxing recommendations ,TRUE,Feel constantly tired.,,Yes,Games,,,Yes,,5,"Unique, but I don't think I want to see more like this. I want the standard ones. ",FALSE,TRUE,FALSE
J9o1BrY,KYp1Va8,2025-10-06 9:21:18,19,Female,Undergraduate (UG),1,BCA,,None,0 days/week,Less than 5 mins,Breath-based (Pranayama),Yes,3,3,2,2,3,4,1,3,3,3,3,2,4,2,Better ,Nothing ,Yes,Yes,TRUE,4,,,Headaches.,,Yes,Music,,,No,No,5,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
D4aqW6p,D4qz7MR,2025-10-06 9:21:38,18,Female,Undergraduate (UG),1,BCA,,None,1-2 days/week,Less than 5 mins,"Moving Meditation (like Tai-Chi, Yoga, etc)",Yes,3,2,4,1,4,2,3,2,4,2,1,5,4,3,It is helping sometime,Yoga meditation ,Yes it is helpful ,Yes,TRUE,2,Check me for relaxing recommendations ,TRUE,"No symptoms, bro! All fine. ",,No,,Music,,Yes,No,1,"Yes, definitely unique. Want to see more like this. , Unique, but I don't think I want to see more like this. I want the standard ones. , I don't know, dude. It looks the same to me.",TRUE,TRUE,TRUE
ODEQVMA,ob9G2vP,2025-10-06 9:21:39,18,Female,Undergraduate (UG),1,BCA,,Rare (less than once a week),1-2 days/week,Less than 5 mins,Breath-based (Pranayama),No,4,4,2,3,1,4,3,4,4,2,3,2,4,2,Not sure,"Suryanamaskara
Because it feels like stress free for me",I think yes if high have stress i will take deep breath and all it helps me to relax,Yes,TRUE,3,,FALSE,Feel constantly tired.,,No,,Music,,No,Nothing ,10,"I don't know, dude. It looks the same to me.",FALSE,FALSE,TRUE
68PDVE5,xXVYJzr,2025-10-06 9:21:41,19,Female,Undergraduate (UG),1,BCA,,Rare (less than once a week),0 days/week,5-15 mins,Breath-based (Pranayama),Maybe?,4,3,3,3,1,2,3,3,3,3,3,3,3,3,Some time it reduces making calm for a while ,Breathing ,Sometimes ,Yes,TRUE,3,,FALSE,Headaches.,,Yes,Sketching,,,Maybe?,,3,"I don't know, dude. It looks the same to me.",FALSE,FALSE,TRUE
ODEQVvM,ODQG7g8,2025-10-06 9:22:07,18,Male,Undergraduate (UG),1,BCA,,Rare (less than once a week),1-2 days/week,Less than 5 mins,Mindfullness/Awareness,Maybe?,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Good,Good,Good,Yes,TRUE,1,Check me for relaxing recommendations ,TRUE,"No symptoms, bro! All fine. ",,No,,Music,,Maybe?,,4,"Yes, definitely unique. Want to see more like this. , Unique, but I don't think I want to see more like this. I want the standard ones. , I don't know, dude. It looks the same to me.",TRUE,TRUE,TRUE
pbze5dJ,Zj9a2Aa,2025-10-06 9:22:51,18,Male,Undergraduate (UG),1,BCA,,Occasional (1–3 times/week),1-2 days/week,Less than 5 mins,Breath-based (Pranayama),Maybe?,4,3,2,5,3,4,4,3,3,3,3,3,3,3,It helped alot .,The part of calming my mind.,It surely did help alot,Yes,TRUE,3,Check me for relaxing recommendations ,TRUE,"Muscle tension: Neck, shoulder and other stiffness when you're working for a long time. ",,Yes,"Games, Music, Hang out with friends",,,Yes,They both go hand in hand ,10,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
lbzagdW,GxelRAz,2025-10-06 9:23:14,18,Male,Undergraduate (UG),1,BCA,,Rare (less than once a week),0 days/week,Less than 5 mins,Breath-based (Pranayama),No,3,4,3,3,2,4,3,3,3,3,3,3,3,3,Idk it happen long time ago,Idk the name ,"Maybe not sure
",Yes,TRUE,1,,FALSE,Difficulty sleeping (not counting the part where you stay up late to watch anime or a TV show... and you actually work on your academic course work),,No,,"Music, Hang out with friends, Games, Just roam around",,Maybe?,Brother idk,5,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
xXzVgRk,PdROzaB,2025-10-06 9:24:27,19,Male,Undergraduate (UG),1,BCA,,None,1-2 days/week,5-15 mins,Breath-based (Pranayama),Maybe?,5,3,1,4,2,2,3,4,3,1,4,3,2,3,I was able to concentrate on my studies after doing the breathing exercise ,Breadth exhale inhale -due to it can commonly remove my stress and anxiety and able to focus on studies ,Yes,Yes,TRUE,5,Check me for relaxing recommendations ,TRUE,"Headaches., Feel constantly tired.",,Yes,"Games, Music, Hang out with friends",,,Yes,,9,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
dWzbgkr,vGXYPQl,2025-10-06 9:24:31,21,Female,Undergraduate (UG),1,BCA,,Rare (less than once a week),1-2 days/week,5-15 mins,Breath-based (Pranayama),Yes,4,1,5,5,3,1,5,1,1,1,1,5,1,5,It will decrease the stress,Pranayama,"Yes, it will increase the focus.",Yes,TRUE,2,Check me for relaxing recommendations ,TRUE,"Headaches., Feel constantly tired.",,No,,"Music, Just roam around",,Yes,,5,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
Ek6qgGr,b5ZddEg,2025-10-06 9:29:25,19,Female,Undergraduate (UG),1,BCA,,None,1-2 days/week,Less than 5 mins,Breath-based (Pranayama),Maybe?,3,2,3,2,2,3,3,2,2,2,2,3,3,2,Get better focus,Bramhari it takes like beeing sound,May be,Yes,TRUE,4,,,"Headaches., Feel constantly tired.",,Yes,Games,,,Yes,Yes,2,"Yes, definitely unique. Want to see more like this. , Unique, but I don't think I want to see more like this. I want the standard ones. , I don't know, dude. It looks the same to me.",TRUE,TRUE,TRUE
xXzV1Bo,BzE7ky5,2025-10-06 9:37:51,18,Male,Undergraduate (UG),1,BCA,,None,0 days/week,Less than 5 mins,Mantra-based,No,1,1,1,4,1,1,5,1,1,1,3,1,1,1,Good,Breathing meditation ,"Yes,by meditation it reduces stress",Yes,TRUE,2,,FALSE,Headaches.,,No,,Music,,Yes,No,10,"Yes, definitely unique. Want to see more like this. , Unique, but I don't think I want to see more like this. I want the standard ones. , I don't know, dude. It looks the same to me.",TRUE,TRUE,TRUE
obzE9DV,5BXx82b,2025-10-06 10:57:32,18,Female,Undergraduate (UG),1,BCA,,None,1-2 days/week,30-60 mins,Breath-based (Pranayama),No,3,4,2,3,2,4,4,4,3,2,3,2,3,4,"When I started practicing meditation, I noticed that my mind became calmer and more focused.",Deep breathing helped me relax quickly whenever I felt anxious or tense during studies,Yes,Yes,TRUE,1,,,Headaches.,,No,,Music,,Yes,Nothing ,7,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
68PLxAB,q45Vp85,2025-10-06 11:52:06,17,Female,Undergraduate (UG),1,BCA,,None,1-2 days/week,5-15 mins,Breath-based (Pranayama),Maybe?,5,4,3,5,3,4,3,5,4,2,4,3,3,3,Gives a sense of peace ,Breathing exercises ,It helps with emotions to balance them,Yes,TRUE,1,Check me for relaxing recommendations ,TRUE,Dizziness?,,No,,Music,,Yes,,8,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
GxbRXYo,0QVEj60,2025-10-07 3:01:40,21,Female,Postgraduate (PG),1,MSc,,Rare (less than once a week),1-2 days/week,5-15 mins,Mindfullness/Awareness,Yes,3,3,4,3,4,4,4,4,4,3,3,4,3,4,Good,Mindfulness meditation,Yes,Yes,TRUE,3,,,"Muscle tension: Neck, shoulder and other stiffness when you're working for a long time. ",,Yes,"Music, Hang out with friends, Hobbies, Just roam around, Games, Art",,Don't overstress just do what you can and let it go,Yes,No fine,6,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
WOqeqej,vGX0dev,2025-10-09 6:32:25,23,Male,Undergraduate (UG),5,BCA,,Rare (less than once a week),0 days/week,Less than 5 mins,Mindfullness/Awareness,Yes,1,1,1,1,1,2,2,1,1,1,1,1,1,2,Good,Nothing ,Yes,Yes,TRUE,1,Check me for relaxing recommendations ,TRUE,No,,No,,,,,,1,"Unique, but I don't think I want to see more like this. I want the standard ones. ",FALSE,TRUE,FALSE
KYGPGGM,pbe0kBV,2025-10-09 6:33:16,19,Male,Undergraduate (UG),5,BCA,,None,0 days/week,Less than 5 mins,Breath-based (Pranayama),Yes,1,1,1,1,1,1,1,1,2,2,2,1,1,1,No meditation ,No ,Nil,Yes,TRUE,0,,,"No symptoms, bro! All fine. ",,No,,Games,,No,,10,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
KYGPGyK,jae0kM6,2025-10-09 6:34:00,21,Male,Undergraduate (UG),5,BCA,,None,5-6 days/week,5-15 mins,Breath-based (Pranayama),No,5,5,5,5,5,5,5,3,3,3,3,4,4,3,It resolved the tension ,Pranayama ,Yes,Yes,TRUE,5,,,"No symptoms, bro! All fine. ",,Yes,Music,,,Yes,No,8,"Unique, but I don't think I want to see more like this. I want the standard ones. ",FALSE,TRUE,FALSE
lbz0z9V,RGWZVLP,2025-10-09 6:34:14,20,Male,Undergraduate (UG),5,BCA,,None,0 days/week,Less than 5 mins,Mindfullness/Awareness,No,4,3,4,3,4,5,2,4,4,3,4,3,4,3,I don't do meditation ,I have no practice of doing meditation.,I haven't tried.,Yes,TRUE,0,,FALSE,Headaches.,,No,,Games,,Maybe?,,1,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
ZjeGeLA,jae0kx9,2025-10-09 6:34:17,20,Male,Undergraduate (UG),5,BCA,,None,0 days/week,Less than 5 mins,Mindfullness/Awareness,No,5,5,5,5,5,5,4,4,5,5,4,5,5,4,I did not meditate ,None,No I did not meditate ,Yes,TRUE,0,Check me for relaxing recommendations ,TRUE,"No symptoms, bro! All fine. ",,No,,Games,,Yes,None,5,"I don't know, dude. It looks the same to me., Unique, but I don't think I want to see more like this. I want the standard ones. ",FALSE,TRUE,TRUE
ZjeGeA5,44a1pLo,2025-10-09 6:34:32,21,Male,Undergraduate (UG),5,BCA,,None,0 days/week,Less than 5 mins,Breath-based (Pranayama),No,1,1,1,1,1,1,1,2,3,2,2,2,2,2,No,No,No,Yes,TRUE,1,Check me for relaxing recommendations ,TRUE,Other,,Yes,,,,,,1,"Unique, but I don't think I want to see more like this. I want the standard ones. ",FALSE,TRUE,FALSE
68P1P6A,eq5NY2J,2025-10-09 6:34:58,21,Male,Undergraduate (UG),5,BCA,,Rare (less than once a week),0 days/week,Less than 5 mins,Breath-based (Pranayama),No,1,1,4,1,3,1,4,1,1,4,1,4,1,4,Dint help,Breathing,Nope ,Yes,TRUE,1,Check me for relaxing recommendations ,TRUE,"No symptoms, bro! All fine. ",,No,,Games,,Yes,,8,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
A7969ey,zxE01rZ,2025-10-09 6:35:05,20,Male,Undergraduate (UG),5,BCA,,Rare (less than once a week),1-2 days/week,5-15 mins,"Moving Meditation (like Tai-Chi, Yoga, etc)",Yes,3,5,2,3,3,5,1,3,3,2,3,3,5,3,Calm my mind,Pranayama ,A bit yes,Yes,TRUE,3,Check me for relaxing recommendations ,TRUE,Headaches.,,Yes,"Music, Games, Hobbies, Just roam around, Hang out with friends",,,Maybe?,Don't know ,10,"Yes, definitely unique. Want to see more like this. , Unique, but I don't think I want to see more like this. I want the standard ones. , I don't know, dude. It looks the same to me.",TRUE,TRUE,TRUE
ODEjERg,Npq4R8p,2025-10-09 6:35:47,19,Male,Undergraduate (UG),5,BCA,,Extensive (daily practice),0 days/week,5-15 mins,Mindfullness/Awareness,Yes,3,2,2,3,4,3,5,3,4,2,2,4,2,4,Very well ,Breathing ,No,Yes,TRUE,0,Check me for relaxing recommendations ,TRUE,"No symptoms, bro! All fine. ",,No,,Music,,Maybe?,No,2,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
ODEjEvg,GxeoQYO,2025-10-09 6:36:00,20,Male,Undergraduate (UG),5,BCA,,Rare (less than once a week),1-2 days/week,5-15 mins,Breath-based (Pranayama),Yes,3,4,2,3,4,4,3,3,3,2,3,3,3,3,Very less,Breath in ,Yes,Yes,TRUE,3,Check me for relaxing recommendations ,TRUE,Headaches.,,No,,Hang out with friends,,Yes,No,4,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
BzeLePQ,pbe0kR1,2025-10-09 6:36:15,20,Male,Undergraduate (UG),5,BCA,,Rare (less than once a week),0 days/week,Less than 5 mins,Mindfullness/Awareness,Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Peace ,Nothing ,Nothing ,Yes,TRUE,2,Check me for relaxing recommendations ,TRUE,,,Yes,,,,Yes,No,3,"Yes, definitely unique. Want to see more like this. , Unique, but I don't think I want to see more like this. I want the standard ones. , I don't know, dude. It looks the same to me.",TRUE,TRUE,TRUE
MeVrV9M,yPX0dj8,2025-10-09 6:36:17,20,Male,Undergraduate (UG),5,BCA,,Occasional (1–3 times/week),1-2 days/week,Less than 5 mins,Breath-based (Pranayama),Maybe?,2,2,2,2,2,2,2,2,2,2,3,2,2,2,"lowering the body's stress hormone, cortisol, and activating the nervous system's relaxation response","Meditation is an internal, self-reflective practice that requires consciousness, emotions, and a physical body to feel sensations like breath or muscle relaxation. ","Yes, meditation can help improve focus, emotional stability, and, indirectly, time management",Yes,TRUE,3,,,"No symptoms, bro! All fine. ",,Yes,"Hobbies, Music, Games",,,Yes,Nothing ,4,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
